tx_id,timestamp,from_address,to_address,amount,token,method,chain,is_new_address,velocity_last_window,score,penalty_total,reasons,explain
0x6888bcfeaa5b82ece51403f5e76b0742b0f76b152256b3fa40f69a6b90e12445,2025-08-25T22:12:59+00:00,0x8eb8a3b98659cce290402893d0123abb75e3ab28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,ETH,CALL,ETH,yes,0,80,20,Endereço remetente não conhecido,"{""weights"": {""new_address"": 20}, ""contrib_pct"": {""new_address"": 100.0}}"
0x03276c03a6ecfb53e94ae77cabb04f50bb78878b528e96ccf0a535da23d32df3,2025-08-25T22:12:59+00:00,0x56de1961fda5454e6f8e6d0e3124ff648fd69400,0xaa66be8db186c898e001e5787fcf85005c2958f0,0.01414042,ETH,TRANSFER,ETH,yes,0,80,20,Endereço remetente não conhecido,"{""weights"": {""new_address"": 20}, ""contrib_pct"": {""new_address"": 100.0}}"
0x0cd5ae01f127cef50dd7dc3e670021676d4a975360ecade399a6640678c8d0db,2025-08-25T22:12:59+00:00,0x9391466ad56f2705ce5fd12e763a65509aee4862,0xebf6c883a1d60ab38c8ed4780aadbfe4c805ed4f,0.0,ETH,CALL,ETH,no,0,100,0,,"{""weights"": {}, ""contrib_pct"": {}}"
0x73dcfe17c813e5e65a6a85398762f0de2384e2deea102bc482587d868610a163,2025-08-25T22:12:59+00:00,0xd5e6014d411a7705ae2c1f71fd719181908932d7,0x7772fe062c2b6ac0c0f83ca4948177be4889b1b3,0.01264605,ETH,TRANSFER,ETH,yes,0,80,20,Endereço remetente não conhecido,"{""weights"": {""new_address"": 20}, ""contrib_pct"": {""new_address"": 100.0}}"
0x946fbf1d552af16e6a32727637e828eee5ed446d4e610e2d8a90bfa118465701,2025-08-25T22:12:59+00:00,0x945586dedacd158474948f6662b7cc50e3f621a5,0x7772fe062c2b6ac0c0f83ca4948177be4889b1b3,0.05161683,ETH,TRANSFER,ETH,yes,0,80,20,Endereço remetente não conhecido,"{""weights"": {""new_address"": 20}, ""contrib_pct"": {""new_address"": 100.0}}"
0xbc6834aa6339227ae5756791651bfad5e6bb693d94719d9a0a1dda7c58605a90,2025-08-25T22:12:59+00:00,0xa1abfa21f80ecf401bd41365adbb6fef6fefdf09,0xf3bfb41f6ac16e545570b2584691ad340970672c,0.02933158,ETH,TRANSFER,ETH,no,0,100,0,,"{""weights"": {}, ""contrib_pct"": {}}"
0x4eba242798f044676bc8f6bacc64e92b81b64505f300c28d71b500741887a5d0,2025-08-25T22:12:59+00:00,0x1e1c00a9817886f9e9c2b63c7713a91c38ef5d02,0x715f8a3efcc77b53ea458b14c8e2af95e57d190e,0.02494242,ETH,TRANSFER,ETH,yes,0,80,20,Endereço remetente não conhecido,"{""weights"": {""new_address"": 20}, ""contrib_pct"": {""new_address"": 100.0}}"
0xbcb71c579909d1689ebe52adf4ca62c6bc89edff1c8bd4019e1ea6a895d8a5a5,2025-08-25T22:12:59+00:00,0xf8230a9a3b99421462134c03b70dd5b94bb3edef,0x715f8a3efcc77b53ea458b14c8e2af95e57d190e,0.02494377,ETH,TRANSFER,ETH,yes,0,80,20,Endereço remetente não conhecido,"{""weights"": {""new_address"": 20}, ""contrib_pct"": {""new_address"": 100.0}}"
0xf3b6de75d287f8a12e46e5cbbace90c8c4094c3a1f4883550fb26bdaf694395f,2025-08-25T22:12:59+00:00,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,ETH,CALL,ETH,no,0,100,0,,"{""weights"": {}, ""contrib_pct"": {}}"
0x4b77e843968292d2348ae2a6271fdc6a7c608cc205ad62c8046acf3a8a1725f6,2025-08-25T22:12:59+00:00,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0.0,ETH,TRANSFER,ETH,no,0,100,0,,"{""weights"": {}, ""contrib_pct"": {}}"
